time,"서울","인천","경기","부산","대구","광주","대전","울산","세종","강원","충북","충남","전북","전남","경북","경남","제주"
1,129.1,126.7,129.3,115.6,126.1,118.2,128.4,121.1,124.0,133.1,124.5,133.4,121.6,120.6,120.8,113.1,114.0
2,124.7,132.1,127.5,115.4,121.0,117.6,126.1,117.3,114.6,125.7,126.5,132.5,126.7,116.2,121.0,111.8,111.6
3,116.6,131.1,122.9,115.8,116.3,122.0,124.3,116.3,95.8,129.7,122.3,133.8,124.7,115.3,120.4,113.7,113.4
4,117.1,129.2,120.3,114.7,112.5,112.3,124.0,109.2,94.0,124.3,119.7,129.3,122.9,111.2,118.6,112.7,117.1
5,124.1,132.4,124.9,118.4,117.2,114.8,125.0,109.8,101.8,125.1,121.8,122.5,126.6,111.5,118.0,114.7,119.0
6,127.9,133.0,129.1,121.7,114.0,120.2,130.2,119.5,98.9,131.5,126.6,126.5,127.3,111.7,120.8,120.7,127.9
7,130.7,131.5,130.9,121.7,113.0,128.2,129.2,120.0,102.0,131.9,126.1,128.4,126.6,110.7,118.8,123.5,123.4
8,132.9,134.1,131.6,124.2,112.4,125.7,127.9,125.1,102.0,131.9,126.8,131.7,126.7,112.5,124.3,127.6,118.9
9,129.5,131.9,128.9,123.2,111.0,128.2,130.6,122.2,103.8,135.1,129.3,136.7,128.7,114.5,126.4,129.5,128.8
10,118.2,121.2,119.1,116.5,107.2,126.3,122.7,114.6,101.0,128.9,124.5,126.9,121.3,111.1,126.2,122.5,123.9
11,111.3,109.0,111.1,109.9,104.5,117.9,108.1,108.4,91.1,122.3,119.4,119.9,117.7,105.0,113.9,120.6,116.4
12,102.0,104.8,103.4,102.2,93.6,112.5,103.3,101.7,79.7,113.3,113.9,114.4,115.6,100.0,109.4,111.6,114.1